POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,DescriptorN/A,LIC Trigger POST,1739904363.065277,1739904362,5,N/A
LIC Robot V1.0,Robot POST,1739905563.222743,1739905563,31,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905569.2758296,1739905569,31,depart,,,,,
LIC Robot V1.0,Robot POST,1739905572.1234257,1739905572,32,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905578.1715534,1739905578,32,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905593.5067027,1739905594,32,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905599.5942106,1739905600,32,depart,,,,,
LIC Robot V1.0,Robot POST,1739905602.4371397,1739905603,33,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905608.4843771,1739905609,33,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905624.048655,1739905624,33,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905630.2065115,1739905630,33,depart,,,,,
LIC Robot V1.0,Robot POST,1739905633.061116,1739905633,34,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905639.2683308,1739905639,34,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905654.888986,1739905655,34,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905661.0276735,1739905661,34,depart,,,,,
LIC Robot V1.0,Robot POST,1739905663.9586148,1739905664,35,arrive,,,,,
N/A,LIC Trigger POST,1739905664.1522646,1739905661,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905669.9864454,1739905670,35,start_arm,,,,,
N/A,LIC Trigger POST,1739905678.9635372,1739905676,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905685.314103,1739905685,35,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905691,1739905691,35,depart,,,,,
N/A,LIC Trigger POST,1739905693.6910539,1739905691,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905694.4397511,1739905695,36,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905700.4942622,1739905701,36,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905716.0158246,1739905716,36,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905722.061557,1739905722,36,depart,,,,,
LIC Robot V1.0,Robot POST,1739905724.923063,1739905725,37,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905730.9661448,1739905731,37,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905746.7219758,1739905747,37,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905752.7736268,1739905753,37,depart,,,,,
LIC Robot V1.0,Robot POST,1739905755.8129725,1739905756,38,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905762.7784579,1739905762,38,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905778.9035552,1739905779,38,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905784.9582393,1739905785,38,depart,,,,,
LIC Robot V1.0,Robot POST,1739905787.8926578,1739905788,39,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905793.9614124,1739905794,39,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905809.3209527,1739905809,39,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905815.6135867,1739905815,39,depart,,,,,
LIC Robot V1.0,Robot POST,1739905818.523243,1739905819,40,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905824.6265361,1739905825,40,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905839.9943767,1739905840,40,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905846.040246,1739905846,40,depart,,,,,
LIC Robot V1.0,Robot POST,1739905848.7581508,1739905849,L,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905864.0426426,1739905864,L,depart,,,,,
LIC Robot V1.0,Robot POST,1739905868.9101043,1739905869,L,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905883.8781533,1739905884,L,depart,,,,,
LIC Robot V1.0,Robot POST,1739905887,1739905887,41,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905893.0258386,1739905893,41,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905908.5504322,1739905909,41,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905915.7365127,1739905915,41,depart,,,,,
LIC Robot V1.0,Robot POST,1739905921.0887368,1739905921,42,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905927.8318992,1739905928,42,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905943.5025156,1739905944,42,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905949.7454665,1739905950,42,depart,,,,,
LIC Robot V1.0,Robot POST,1739905952.7422125,1739905953,43,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905958.7872443,1739905959,43,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905974.151773,1739905974,43,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905980.5772316,1739905981,43,depart,,,,,
LIC Robot V1.0,Robot POST,1739905984.2731638,1739905984,44,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905990.9977672,1739905991,44,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906006.6390219,1739906006,44,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906012.6898992,1739906013,44,depart,,,,,
LIC Robot V1.0,Robot POST,1739906015.514196,1739906016,45,arrive,,,,,
LIC Robot V1.0,Robot POST,1739906021.742218,1739906022,45,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906037.0759678,1739906037,45,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906043.6809072,1739906043,45,depart,,,,,
LIC Robot V1.0,Robot POST,1739906046.9345467,1739906047,46,arrive,,,,,
LIC Robot V1.0,Robot POST,1739906053.254382,1739906053,46,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906068.5837996,1739906069,46,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906076.8338408,1739906076,46,depart,,,,,
LIC Robot V1.0,Robot POST,1739906080.7709882,1739906081,47,arrive,,,,,
LIC Robot V1.0,Robot POST,1739906087.0890293,1739906087,47,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906102.5833967,1739906103,47,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906108.9454505,1739906109,47,depart,,,,,
LIC Robot V1.0,Robot POST,1739906111.8617337,1739906112,48,arrive,,,,,
LIC Robot V1.0,Robot POST,1739906118.223799,1739906118,48,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906133.5616524,1739906134,48,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906139.7352564,1739906140,48,depart,,,,,
LIC Robot V1.0,Robot POST,1739906142.6334884,1739906143,49,arrive,,,,,
LIC Robot V1.0,Robot POST,1739906149.9524395,1739906149,49,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906165.2927196,1739906165,49,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906171.6653347,1739906172,49,depart,,,,,
LIC Robot V1.0,Robot POST,1739906175.145599,1739906175,S,arrive,,,,,
