POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor,,
LIC Robot V1.0,Robot POST,1739918794.690376,1739918795,9,end_arm,,
LIC Robot V1.0,Robot POST,1739918801.1761026,1739918801,9,depart,,
LIC Robot V1.0,Robot POST,1739918804.3707292,1739918805,10,arrive,,
LIC Robot V1.0,Robot POST,1739918810.4475129,1739918811,10,start_arm,,
LIC Robot V1.0,Robot POST,1739918826.215176,1739918826,10,end_arm,,
LIC Robot V1.0,Robot POST,1739918832.276357,1739918833,10,depart,,
LIC Robot V1.0,Robot POST,1739918835.2670481,1739918836,R,arrive,,
LIC Robot V1.0,Robot POST,1739918850.386529,1739918851,R,depart,,
LIC Robot V1.0,Robot POST,1739918856.0998766,1739918856,R,arrive,,
LIC Robot V1.0,Robot POST,1739918871.1315236,1739918872,R,depart,,
LIC Robot V1.0,Robot POST,1739918874.2249427,1739918875,11,arrive,,
LIC Robot V1.0,Robot POST,1739918880.3099964,1739918881,11,start_arm,,
LIC Robot V1.0,Robot POST,1739918895.859924,1739918896,11,end_arm,,
LIC Robot V1.0,Robot POST,1739918902.343911,1739918902,11,depart,,
LIC Robot V1.0,Robot POST,1739918905.5423903,1739918906,12,arrive,,
LIC Robot V1.0,Robot POST,1739918911.8649065,1739918912,12,start_arm,,
LIC Robot V1.0,Robot POST,1739918927.2878098,1739918928,12,end_arm,,
LIC Robot V1.0,Robot POST,1739918933.445961,1739918934,12,depart,,
LIC Robot V1.0,Robot POST,1739918936.7460513,1739918937,13,arrive,,
LIC Robot V1.0,Robot POST,1739918942.8268661,1739918943,13,start_arm,,
LIC Robot V1.0,Robot POST,1739918958.3750243,1739918959,13,end_arm,,
LIC Robot V1.0,Robot POST,1739918964.5509572,1739918965,13,depart,,
LIC Robot V1.0,Robot POST,1739918967.646255,1739918968,14,arrive,,
LIC Robot V1.0,Robot POST,1739918974.1148674,1739918974,14,start_arm,,
N/A,LIC Trigger POST,1739918975.9340868,1739918973,2,N/A,,
N/A,LIC Trigger POST,1739918981.7923236,1739918979,2,N/A,,
LIC Robot V1.0,Robot POST,1739918990.0961893,1739918990,14,end_arm,,
LIC Robot V1.0,Robot POST,1739918996.4920077,1739918997,14,depart,,
N/A,LIC Trigger POST,1739918998.401726,1739918996,2,N/A,,
LIC Robot V1.0,Robot POST,1739918999.7924223,1739919000,15,arrive,,
LIC Robot V1.0,Robot POST,1739919006.2911448,1739919006,15,start_arm,,
N/A,LIC Trigger POST,1739919007.9888542,1739919005,2,N/A,,
N/A,LIC Trigger POST,1739919014.059827,1739919011,2,N/A,,
N/A,LIC Trigger POST,1739919020.1302772,1739919017,2,N/A,,
LIC Robot V1.0,Robot POST,1739919024.0629852,1739919022,15,end_arm,,
N/A,LIC Trigger POST,1739919041.9614897,1739919040,2,N/A,,
LIC Robot V1.0,Robot POST,1739919043.986917,1739919044,16,arrive,,
LIC Robot V1.0,Robot POST,1739919050.2714157,1739919051,16,start_arm,,
LIC Robot V1.0,Robot POST,1739919082.2342305,1739919082,16,depart,,
LIC Robot V1.0,Robot POST,1739919092.298743,1739919085,17,arrive,,
LIC Robot V1.0,Robot POST,1739919098.8305817,1739919099,17,start_arm,,
LIC Robot V1.0,Robot POST,1739919114.286398,1739919115,17,end_arm,,
LIC Robot V1.0,Robot POST,1739919120.3516057,1739919121,17,depart,,
N/A,LIC Trigger POST,1739919122.4705043,1739919120,2,N/A,,
LIC Robot V1.0,Robot POST,1739919123.5357468,1739919124,18,arrive,,
LIC Robot V1.0,Robot POST,1739919129.7228649,1739919130,18,start_arm,,
LIC Robot V1.0,Robot POST,1739919145.2690039,1739919146,18,end_arm,,
LIC Robot V1.0,Robot POST,1739919151.7350023,1739919152,18,depart,,
LIC Robot V1.0,Robot POST,1739919155.039762,1739919156,19,arrive,,
LIC Robot V1.0,Robot POST,1739919161.4638069,1739919162,19,start_arm,,
LIC Robot V1.0,Robot POST,1739919176.7937932,1739919177,19,end_arm,,
LIC Robot V1.0,Robot POST,1739919182.8782742,1739919183,19,depart,,
LIC Robot V1.0,Robot POST,1739919185.7403164,1739919186,20,arrive,,
LIC Robot V1.0,Robot POST,1739919191.9033363,1739919192,20,start_arm,,
LIC Robot V1.0,Robot POST,1739919207.3541548,1739919208,20,end_arm,,
LIC Robot V1.0,Robot POST,1739919213.5406444,1739919214,20,depart,,
LIC Robot V1.0,Robot POST,1739919216.0942075,1739919217,L,arrive,,
LIC Robot V1.0,Robot POST,1739919231.7411644,1739919232,L,depart,,
LIC Robot V1.0,Robot POST,1739919236.959958,1739919237,L,arrive,,
LIC Robot V1.0,Robot POST,1739919251.9709415,1739919252,L,depart,,
LIC Robot V1.0,Robot POST,1739919254.6415706,1739919255,21,arrive,,
LIC Robot V1.0,Robot POST,1739919260.8136623,1739919261,21,start_arm,,
LIC Robot V1.0,Robot POST,1739919276.4687908,1739919277,21,end_arm,,
LIC Robot V1.0,Robot POST,1739919282.9535005,1739919283,21,depart,,
LIC Robot V1.0,Robot POST,1739919286.1523163,1739919287,22,arrive,,
LIC Robot V1.0,Robot POST,1739919292.444044,1739919293,22,start_arm,,
N/A,LIC Trigger POST,1739919302.2373009,1739919299,2,N/A,,
N/A,LIC Trigger POST,1739919307.9872751,1739919305,2,N/A,,
LIC Robot V1.0,Robot POST,1739919308.309749,1739919309,22,end_arm,,
LIC Robot V1.0,Robot POST,1739919314.4982026,1739919315,22,depart,,
N/A,LIC Trigger POST,1739919316.614969,1739919314,2,N/A,,
LIC Robot V1.0,Robot POST,1739919317.671045,1739919318,23,arrive,,
N/A,LIC Trigger POST,1739919322.1503475,1739919319,2,N/A,,
LIC Robot V1.0,Robot POST,1739919323.9659562,1739919324,23,start_arm,,
N/A,LIC Trigger POST,1739919328.0083933,1739919325,2,N/A,,
N/A,LIC Trigger POST,1739919333.865424,1739919331,2,N/A,,
LIC Robot V1.0,Robot POST,1739919339.534651,1739919340,23,end_arm,,
LIC Robot V1.0,Robot POST,1739919345.8981295,1739919346,23,depart,,
N/A,LIC Trigger POST,1739919347.3927574,1739919345,2,N/A,,
LIC Robot V1.0,Robot POST,1739919349.6193426,1739919350,24,arrive,,
N/A,LIC Trigger POST,1739919353.1426163,1739919350,2,N/A,,
LIC Robot V1.0,Robot POST,1739919356.013589,1739919356,24,start_arm,,
LIC Robot V1.0,Robot POST,1739919371.9964428,1739919372,24,end_arm,,
LIC Robot V1.0,Robot POST,1739919378.5704072,1739919379,24,depart,,
N/A,LIC Trigger POST,1739919380.8714836,1739919378,2,N/A,,
LIC Robot V1.0,Robot POST,1739919381.4669445,1739919382,25,arrive,,
LIC Robot V1.0,Robot POST,1739919388.276017,1739919388,25,start_arm,,
N/A,LIC Trigger POST,1739919397.977943,1739919395,2,N/A,,
LIC Robot V1.0,Robot POST,1739919404.2646832,1739919404,25,end_arm,,
LIC Robot V1.0,Robot POST,1739919410.5556853,1739919411,25,depart,,
N/A,LIC Trigger POST,1739919412.1408389,1739919409,2,N/A,,
LIC Robot V1.0,Robot POST,1739919413.7326205,1739919414,26,arrive,,
LIC Robot V1.0,Robot POST,1739919419.9338338,1739919420,26,start_arm,,
N/A,LIC Trigger POST,1739919429.0687501,1739919426,2,N/A,,
LIC Robot V1.0,Robot POST,1739919435.3626993,1739919436,26,end_arm,,
LIC Robot V1.0,Robot POST,1739919441.6428149,1739919442,26,depart,,
LIC Robot V1.0,Robot POST,1739919444.8491857,1739919445,27,arrive,,
LIC Robot V1.0,Robot POST,1739919451.4368918,1739919451,27,start_arm,,
LIC Robot V1.0,Robot POST,1739919467.4141269,1739919468,27,end_arm,,
LIC Robot V1.0,Robot POST,1739919474.732527,1739919474,27,depart,,
LIC Robot V1.0,Robot POST,1739919480.6533766,1739919478,28,arrive,,
LIC Robot V1.0,Robot POST,1739919487.1161115,1739919487,28,start_arm,,
N/A,LIC Trigger POST,1739919488.7097692,1739919485,2,N/A,,
N/A,LIC Trigger POST,1739919494.4625301,1739919491,2,N/A,,
N/A,LIC Trigger POST,1739919499.9919503,1739919497,2,N/A,,
LIC Robot V1.0,Robot POST,1739919502.4643042,1739919503,28,end_arm,,
LIC Robot V1.0,Robot POST,1739919508.5231104,1739919509,28,depart,,
N/A,LIC Trigger POST,1739919511.3908982,1739919508,2,N/A,,
LIC Robot V1.0,Robot POST,1739919511.4063683,1739919512,29,arrive,,
LIC Robot V1.0,Robot POST,1739919517.475609,1739919518,29,start_arm,,
LIC Robot V1.0,Robot POST,1739919532.9180598,1739919533,29,end_arm,,
LIC Robot V1.0,Robot POST,1739919539.0998752,1739919539,29,depart,,
LIC Robot V1.0,Robot POST,1739919542.0735548,1739919542,30,arrive,,
LIC Robot V1.0,Robot POST,1739919548.2455075,1739919549,30,start_arm,,
LIC Robot V1.0,Robot POST,1739919563.5835705,1739919564,30,end_arm,,
LIC Robot V1.0,Robot POST,1739919570.0732815,1739919570,30,depart,,
LIC Robot V1.0,Robot POST,1739919573.2740676,1739919573,R,arrive,,
LIC Robot V1.0,Robot POST,1739919588.602307,1739919589,R,depart,,
LIC Robot V1.0,Robot POST,1739919593.9488928,1739919594,R,arrive,,
LIC Robot V1.0,Robot POST,1739919609.0976496,1739919609,R,depart,,
LIC Robot V1.0,Robot POST,1739919612.2642765,1739919613,31,arrive,,
LIC Robot V1.0,Robot POST,1739919618.7452567,1739919619,31,start_arm,,
LIC Robot V1.0,Robot POST,1739919634.4007657,1739919635,31,end_arm,,
LIC Robot V1.0,Robot POST,1739919640.7730525,1739919641,31,depart,,
LIC Robot V1.0,Robot POST,1739919644.5174055,1739919644,32,arrive,,
LIC Robot V1.0,Robot POST,1739919651.2231588,1739919651,32,start_arm,,
LIC Robot V1.0,Robot POST,1739919667.3092206,1739919667,32,end_arm,,
LIC Robot V1.0,Robot POST,1739919674.333333,1739919674,32,depart,,
LIC Robot V1.0,Robot POST,1739919677.638216,1739919678,33,arrive,,
LIC Robot V1.0,Robot POST,1739919684.4542294,1739919684,33,start_arm,,
N/A,LIC Trigger POST,1739919689.242156,1739919686,2,N/A,,
LIC Robot V1.0,Robot POST,1739919701.0652008,1739919701,33,end_arm,,
LIC Robot V1.0,Robot POST,1739919707.3629155,1739919708,33,depart,,
N/A,LIC Trigger POST,1739919709.5836618,1739919706,2,N/A,,
LIC Robot V1.0,Robot POST,1739919710.849637,1739919710,34,arrive,,
LIC Robot V1.0,Robot POST,1739919717.3636463,1739919718,34,start_arm,,
LIC Robot V1.0,Robot POST,1739919733.3267424,1739919733,34,end_arm,,
LIC Robot V1.0,Robot POST,1739919739.7257411,1739919740,34,depart,,
LIC Robot V1.0,Robot POST,1739919742.5662267,1739919743,35,arrive,,
N/A,LIC Trigger POST,1739919742.6453366,1739919739,2,N/A,,
LIC Robot V1.0,Robot POST,1739919749.287918,1739919749,35,start_arm,,
N/A,LIC Trigger POST,1739919751.2532227,1739919748,2,N/A,,
N/A,LIC Trigger POST,1739919761.1265519,1739919758,2,N/A,,
LIC Robot V1.0,Robot POST,1739919765.2817166,1739919765,35,end_arm,,
LIC Robot V1.0,Robot POST,1739919772,1739919772,35,depart,,
N/A,LIC Trigger POST,1739919773.695502,1739919770,2,N/A,,
LIC Robot V1.0,Robot POST,1739919775.0727804,1739919775,36,arrive,,
N/A,LIC Trigger POST,1739919779.5510552,1739919776,2,N/A,,
LIC Robot V1.0,Robot POST,1739919781.7909064,1739919782,36,start_arm,,
N/A,LIC Trigger POST,1739919786.6870296,1739919783,2,N/A,,
N/A,LIC Trigger POST,1739919792.4378095,1739919789,2,N/A,,
LIC Robot V1.0,Robot POST,1739919798.1925473,1739919798,36,end_arm,,
LIC Robot V1.0,Robot POST,1739919804.2717535,1739919805,36,depart,,
N/A,LIC Trigger POST,1739919805.921956,1739919802,2,N/A,,
LIC Robot V1.0,Robot POST,1739919807.1256695,1739919807,37,arrive,,
LIC Robot V1.0,Robot POST,1739919813.4134283,1739919814,37,start_arm,,
LIC Robot V1.0,Robot POST,1739919829.0834885,1739919829,37,end_arm,,
LIC Robot V1.0,Robot POST,1739919835.199483,1739919836,37,depart,,
LIC Robot V1.0,Robot POST,1739919838.3512337,1739919839,38,arrive,,
LIC Robot V1.0,Robot POST,1739919844.7265117,1739919845,38,start_arm,,
LIC Robot V1.0,Robot POST,1739919861.0208793,1739919861,38,end_arm,,
LIC Robot V1.0,Robot POST,1739919867.8413055,1739919868,38,depart,,
LIC Robot V1.0,Robot POST,1739919871.163451,1739919871,39,arrive,,
LIC Robot V1.0,Robot POST,1739919877.761824,1739919878,39,start_arm,,
LIC Robot V1.0,Robot POST,1739919893.3993847,1739919894,39,end_arm,,
LIC Robot V1.0,Robot POST,1739919899.7883587,1739919900,39,depart,,
LIC Robot V1.0,Robot POST,1739919902.7858605,1739919903,40,arrive,,
LIC Robot V1.0,Robot POST,1739919909,1739919909,40,start_arm,,
LIC Robot V1.0,Robot POST,1739919924.8100383,1739919925,40,end_arm,,
LIC Robot V1.0,Robot POST,1739919931.3124118,1739919931,40,depart,,
LIC Robot V1.0,Robot POST,1739919933.880908,1739919934,L,arrive,,
LIC Robot V1.0,Robot POST,1739919949.520289,1739919950,L,depart,,
LIC Robot V1.0,Robot POST,1739919954.5442717,1739919955,L,arrive,,
LIC Robot V1.0,Robot POST,1739919969.861526,1739919970,L,depart,,
LIC Robot V1.0,Robot POST,1739919972.950174,1739919973,41,arrive,,
LIC Robot V1.0,Robot POST,1739919979.1360104,1739919980,41,start_arm,,
LIC Robot V1.0,Robot POST,1739919994.6737213,1739919995,41,end_arm,,
LIC Robot V1.0,Robot POST,1739920000.758538,1739920001,41,depart,,
LIC Robot V1.0,Robot POST,1739920004.0808063,1739920004,42,arrive,,
LIC Robot V1.0,Robot POST,1739920010.216923,1739920011,42,start_arm,,
LIC Robot V1.0,Robot POST,1739920025.693819,1739920026,42,end_arm,,
LIC Robot V1.0,Robot POST,1739920032.1766946,1739920032,42,depart,,
LIC Robot V1.0,Robot POST,1739920035.136398,1739920035,43,arrive,,
LIC Robot V1.0,Robot POST,1739920041.4313023,1739920042,43,start_arm,,
LIC Robot V1.0,Robot POST,1739920056.9360216,1739920057,43,end_arm,,
LIC Robot V1.0,Robot POST,1739920062.9984765,1739920063,43,depart,,
N/A,LIC Trigger POST,1739920065.2106524,1739920062,2,N/A,,
LIC Robot V1.0,Robot POST,1739920065.9599435,1739920066,44,arrive,,
LIC Robot V1.0,Robot POST,1739920072.4165852,1739920072,44,start_arm,,
LIC Robot V1.0,Robot POST,1739920088.0740073,1739920088,44,end_arm,,
LIC Robot V1.0,Robot POST,1739920094.5601025,1739920095,44,depart,,
LIC Robot V1.0,Robot POST,1739920097.6583614,1739920098,45,arrive,,
LIC Robot V1.0,Robot POST,1739920104.0474746,1739920104,45,start_arm,,
N/A,LIC Trigger POST,1739920115.9642303,1739920112,2,N/A,,
LIC Robot V1.0,Robot POST,1739920120.0205474,1739920120,45,end_arm,,
LIC Robot V1.0,Robot POST,1739920126.5080178,1739920127,45,depart,,
N/A,LIC Trigger POST,1739920128.8568153,1739920125,2,N/A,,
LIC Robot V1.0,Robot POST,1739920130,1739920130,46,arrive,,
LIC Robot V1.0,Robot POST,1739920136.6254773,1739920137,46,start_arm,,
LIC Robot V1.0,Robot POST,1739920152.928564,1739920153,46,end_arm,,
LIC Robot V1.0,Robot POST,1739920159.6370373,1739920159,46,depart,,
LIC Robot V1.0,Robot POST,1739920162.7320454,1739920163,47,arrive,,
LIC Robot V1.0,Robot POST,1739920169.2170224,1739920169,47,start_arm,,
N/A,LIC Trigger POST,1739920173,1739920169,2,N/A,,
LIC Robot V1.0,Robot POST,1739920184.8770537,1739920185,47,end_arm,,
LIC Robot V1.0,Robot POST,1739920191.3720553,1739920192,47,depart,,
LIC Robot V1.0,Robot POST,1739920194.6741238,1739920195,48,arrive,,
LIC Robot V1.0,Robot POST,1739920201.1731086,1739920201,48,start_arm,,
LIC Robot V1.0,Robot POST,1739920216.7796524,1739920217,48,end_arm,,
LIC Robot V1.0,Robot POST,1739920222.8183823,1739920223,48,depart,,
LIC Robot V1.0,Robot POST,1739920225.9854703,1739920226,49,arrive,,
LIC Robot V1.0,Robot POST,1739920232.4778607,1739920233,49,start_arm,,
LIC Robot V1.0,Robot POST,1739920248.1354692,1739920248,49,end_arm,,
LIC Robot V1.0,Robot POST,1739920254.6267786,1739920255,49,depart,,
LIC Robot V1.0,Robot POST,1739920257.8410463,1739920258,S,arrive,,
